"Country or Area","Year(s)","Variant","Value"
"Iran (Islamic Republic of)","2092","Lower 80 PI","70015.203"
"Iran (Islamic Republic of)","2092","Upper 95 PI","109026.013"
"Iran (Islamic Republic of)","2092","Lower 95 PI","63015.075"
"Iran (Islamic Republic of)","2091","Medium","84025.819"
"Iran (Islamic Republic of)","2091","High","115134.942"
"Iran (Islamic Republic of)","2091","Low","59874.956"
"Iran (Islamic Republic of)","2091","Constant fertility","84038.912"
"Iran (Islamic Republic of)","2091","Instant replacement","111092.765"
"Iran (Islamic Republic of)","2091","Zero migration","87893.29"
"Iran (Islamic Republic of)","2091","Constant mortality","69635.05"
"Iran (Islamic Republic of)","2091","No change","69622.606"
"Iran (Islamic Republic of)","2091","Momentum","99425.404"
"Iran (Islamic Republic of)","2091","Instant replacement zero migration","115502.408"
"Iran (Islamic Republic of)","2091","Median PI","84025.819"
"Iran (Islamic Republic of)","2091","Upper 80 PI","99020.962"
"Iran (Islamic Republic of)","2091","Lower 80 PI","70621.232"
"Iran (Islamic Republic of)","2091","Upper 95 PI","109034.312"
"Iran (Islamic Republic of)","2091","Lower 95 PI","63717.941"
"Iran (Islamic Republic of)","2090","Medium","84477.212"
"Iran (Islamic Republic of)","2090","High","114866.736"
"Iran (Islamic Republic of)","2090","Low","60726.113"
"Iran (Islamic Republic of)","2090","Constant fertility","84477.481"
"Iran (Islamic Republic of)","2090","Instant replacement","110973.742"
"Iran (Islamic Republic of)","2090","Zero migration","88289.258"
"Iran (Islamic Republic of)","2090","Constant mortality","70235.136"
"Iran (Islamic Republic of)","2090","No change","70211.908"
"Iran (Islamic Republic of)","2090","Momentum","99471.805"
"Iran (Islamic Republic of)","2090","Instant replacement zero migration","115310.26"
"Iran (Islamic Republic of)","2090","Median PI","84477.212"
"Iran (Islamic Republic of)","2090","Upper 80 PI","99084.56"
"Iran (Islamic Republic of)","2090","Lower 80 PI","71187.007"
"Iran (Islamic Republic of)","2090","Upper 95 PI","108947.225"
"Iran (Islamic Republic of)","2090","Lower 95 PI","64463.531"
"Iran (Islamic Republic of)","2089","Medium","84930.902"
"Iran (Islamic Republic of)","2089","High","114610.081"
"Iran (Islamic Republic of)","2089","Low","61581.633"
"Iran (Islamic Republic of)","2089","Constant fertility","84922.986"
"Iran (Islamic Republic of)","2089","Instant replacement","110860.817"
"Iran (Islamic Republic of)","2089","Zero migration","88687.152"
"Iran (Islamic Republic of)","2089","Constant mortality","70824.295"
"Iran (Islamic Republic of)","2089","No change","70794.664"
"Iran (Islamic Republic of)","2089","Momentum","99506.351"
"Iran (Islamic Republic of)","2089","Instant replacement zero migration","115124.325"
"Iran (Islamic Republic of)","2089","Median PI","84930.902"
"Iran (Islamic Republic of)","2089","Upper 80 PI","99206.684"
"Iran (Islamic Republic of)","2089","Lower 80 PI","71813.998"
"Iran (Islamic Republic of)","2089","Upper 95 PI","108720.463"
"Iran (Islamic Republic of)","2089","Lower 95 PI","65237.638"
"Iran (Islamic Republic of)","2088","Medium","85388.156"
"Iran (Islamic Republic of)","2088","High","114367.254"
"Iran (Islamic Republic of)","2088","Low","62442.793"
"Iran (Islamic Republic of)","2088","Constant fertility","85376.543"
"Iran (Islamic Republic of)","2088","Instant replacement","110755.088"
"Iran (Islamic Republic of)","2088","Zero migration","89088.248"
"Iran (Islamic Republic of)","2088","Constant mortality","71402.719"
"Iran (Islamic Republic of)","2088","No change","71370.936"
"Iran (Islamic Republic of)","2088","Momentum","99529.363"
"Iran (Islamic Republic of)","2088","Instant replacement zero migration","114945.664"
"Iran (Islamic Republic of)","2088","Median PI","85388.156"
"Iran (Islamic Republic of)","2088","Upper 80 PI","99374.356"
"Iran (Islamic Republic of)","2088","Lower 80 PI","72466.502"
"Iran (Islamic Republic of)","2088","Upper 95 PI","108672.076"
"Iran (Islamic Republic of)","2088","Lower 95 PI","65996.933"
"Iran (Islamic Republic of)","2087","Medium","85851.326"
"Iran (Islamic Republic of)","2087","High","114142.167"
"Iran (Islamic Republic of)","2087","Low","63311.404"
"Iran (Islamic Republic of)","2087","Constant fertility","85839.056"
"Iran (Islamic Republic of)","2087","Instant replacement","110657.589"
"Iran (Islamic Republic of)","2087","Zero migration","89494.997"
"Iran (Islamic Republic of)","2087","Constant mortality","71972.237"
"Iran (Islamic Republic of)","2087","No change","71941.162"
"Iran (Islamic Republic of)","2087","Momentum","99541.678"
"Iran (Islamic Republic of)","2087","Instant replacement zero migration","114775.291"
"Iran (Islamic Republic of)","2087","Median PI","85851.326"
"Iran (Islamic Republic of)","2087","Upper 80 PI","99526.928"
"Iran (Islamic Republic of)","2087","Lower 80 PI","73104.708"
"Iran (Islamic Republic of)","2087","Upper 95 PI","108843.982"
"Iran (Islamic Republic of)","2087","Lower 95 PI","66674.428"
"Iran (Islamic Republic of)","2086","Medium","86319.3"
"Iran (Islamic Republic of)","2086","High","113932.69"
"Iran (Islamic Republic of)","2086","Low","64187.621"
"Iran (Islamic Republic of)","2086","Constant fertility","86312.139"
"Iran (Islamic Republic of)","2086","Instant replacement","110570.218"
"Iran (Islamic Republic of)","2086","Zero migration","89906.14"
"Iran (Islamic Republic of)","2086","Constant mortality","72531.027"
"Iran (Islamic Republic of)","2086","No change","72506.165"
"Iran (Islamic Republic of)","2086","Momentum","99544.702"
"Iran (Islamic Republic of)","2086","Instant replacement zero migration","114615.087"
"Iran (Islamic Republic of)","2086","Median PI","86319.3"
